n,sig,d_1,d_2,d_3,d_4
60,168,2,30,6,10
84,224,3,28,4,21
90,234,3,30,6,15
156,392,3,52,12,13
216,600,2,108,4,54
312,840,2,156,6,52
330,864,2,165,15,22
552,1440,2,276,12,46
594,1440,3,198,18,33
616,1440,4,154,22,28
714,1728,3,238,17,42
760,1800,4,190,10,76
1392,3720,2,696,6,232
1770,4320,3,590,10,177
1890,5760,1,1890,35,54
1950,5208,2,975,6,325
2548,5586,7,364,28,91
2556,6552,2,1278,18,142
2754,6534,3,918,51,54
3198,7056,6,533,39,82
3366,8424,3,1122,6,561
3486,8064,6,581,7,498
5160,15840,1,5160,15,344
5856,15624,2,2928,6,976
8040,24480,1,8040,24,335
8436,21280,2,4218,74,114
8526,20520,3,2842,14,609
8850,22320,2,4425,75,118
9438,22344,3,3146,33,286
11550,35712,1,11550,11,1050
11776,24552,16,736,64,184
12726,31824,3,4242,6,2121
13216,30240,4,3304,28,472
13776,41664,1,13776,48,287
16150,33480,25,646,34,475
20070,52416,2,10035,9,2230
20874,49248,3,6958,42,497
21714,55296,2,10857,22,987
23226,54720,3,7742,49,474
28680,86400,1,28680,120,239
46624,96768,16,2914,94,496
67146,146304,6,11191,93,722
77190,193536,2,38595,249,310
94576,191952,46,2056,184,514
104232,269280,2,52116,12,8686
147424,308448,16,9214,34,4336
174064,392832,4,43516,172,1012
224896,514080,4,56224,28,8032
252582,570240,6,42097,11,22962
254272,525780,16,15892,232,1096
267168,804384,1,267168,96,2783
285430,575424,85,3358,391,730
301182,705024,3,100394,142,2121
356592,1071360,1,356592,272,1311
390912,1042440,2,195456,6,65152
454090,1008000,7,64870,13,34930
469482,1018944,6,78247,338,1389
594642,1290240,6,99107,417,1426
651910,1370880,10,65191,469,1390
709032,1831680,2,354516,12,59086
749892,2257920,1,749892,92,8151
771970,1555200,85,9082,478,1615
780786,1828800,3,260262,114,6849
937936,1908546,31,30256,496,1891
948352,1958400,16,59272,496,1912
