n,sig,d_1,d_2,d_3,d_4
60,168,2,30,6,10
84,224,3,28,4,21
90,234,3,30,6,15
216,600,2,108,4,54
312,840,2,156,6,52
330,864,2,165,15,22
552,1440,2,276,12,46
594,1440,3,198,18,33
616,1440,4,154,22,28
714,1728,3,238,17,42
760,1800,4,190,10,76
1392,3720,2,696,6,232
1770,4320,3,590,10,177
1890,5760,1,1890,35,54
1950,5208,2,975,6,325
2548,5586,7,364,28,91
2556,6552,2,1278,18,142
2754,6534,3,918,51,54
3198,7056,6,533,39,82
3366,8424,3,1122,6,561
3486,8064,6,581,7,498
5160,15840,1,5160,15,344
5856,15624,2,2928,6,976
8040,24480,1,8040,24,335
8436,21280,2,4218,74,114
8526,20520,3,2842,14,609
8850,22320,2,4425,75,118
9438,22344,3,3146,33,286
11550,35712,1,11550,11,1050
11776,24552,16,736,64,184
12726,31824,3,4242,6,2121
13216,30240,4,3304,28,472
13776,41664,1,13776,48,287
16150,33480,25,646,34,475
20070,52416,2,10035,9,2230
20874,49248,3,6958,42,497
21714,55296,2,10857,22,987
23226,54720,3,7742,49,474
28680,86400,1,28680,120,239
46624,96768,16,2914,94,496
